address	value
100242a2	GlobalHandle
100242b2	InitializeCriticalSection
100242ce	TlsAlloc
100242da	TlsSetValue
100242e8	LocalReAlloc
100242f8	DeleteCriticalSection
10024310	TlsFree
1002431a	CloseHandle
10024328	GetCurrentThreadId
1002433e	GetModuleFileNameA
10024354	SetErrorMode
10024364	GetCurrentProcessId
1002437a	InterlockedIncrement
10024392	GlobalGetAtomNameA
100243a8	lstrcmpA
100243b4	GetThreadLocale
100243c6	GetVersionExA
100243d6	lstrcmpW
100243e2	LoadLibraryA
100243f2	GlobalDeleteAtom
10024406	GlobalFindAtomA
10024418	GlobalAddAtomA
1002442a	GlobalFlags
10024438	GetLocaleInfoA
1002444a	GetCPInfo
10024456	GetOEMCP
10024462	WriteFile
1002446e	SetFilePointer
10024480	FlushFileBuffers
10024494	GetCurrentProcess
100244a8	CreateFileA
100244b4	KERNEL32.dll
100244c4	GetSubMenu
100244d2	GetMenuItemCount
100244e6	GetMenuItemID
100244f6	GetMenuState
10024506	UnhookWindowsHookEx
1002451c	ValidateRect
1002452c	PeekMessageA
1002453c	GetKeyState
1002454a	SendMessageA
1002455a	DispatchMessageA
1002456e	CallNextHookEx
10024580	SetWindowsHookExA
10024594	UnregisterClassA
100245a8	MessageBoxA
100245b6	EnableWindow
100245c6	IsWindowEnabled
100245d8	GetLastActivePopup
100245ee	GetWindowLongA
10024600	GetParent
1002460c	GetWindowThreadProcessId
10024628	GetSysColorBrush
1002463c	GetSysColor
1002464a	ReleaseDC
10024656	GetDC
1002465e	GetSystemMetrics
10024672	LoadCursorA
10024680	GetWindowTextA
10024692	CheckMenuItem
100246a2	EnableMenuItem
100246b4	ModifyMenuA
100246c2	GetFocus
100246ce	LoadBitmapA
100246dc	GetMenuCheckMarkDimensions
100246fa	SetMenuItemBitmaps
10024710	GetWindow
1002471c	GetWindowRect
1002472c	GetWindowPlacement
10024742	IsIconic
1002474e	SystemParametersInfoA
10024766	SetWindowPos
10024776	SetWindowLongA
10024788	CallWindowProcA
1002479a	DefWindowProcA
100247ac	GetDlgCtrlID
100247bc	PtInRect
100247c8	CopyRect
100247d4	AdjustWindowRectEx
100247ea	RegisterClassA
100247fc	GetClassInfoA
1002480c	GetClassInfoExA
1002481e	CreateWindowExA
10024830	PostMessageA
10024840	GetMenu
1002484a	GetClientRect
1002485a	SetForegroundWindow
10024870	MapWindowPoints
10024882	GetMessagePos
10024892	GetMessageTime
100248a4	DestroyWindow
100248b4	GetTopWindow
100248c4	GetDlgItem
100248d2	GetForegroundWindow
100248e8	IsWindow
100248f4	RemovePropA
10024902	GetPropA
1002490e	SetPropA
1002491a	GetClassNameA
1002492a	GetClassLongA
1002493a	GetCapture
10024948	WinHelpA
10024954	LoadIconA
10024960	RegisterWindowMessageA
1002497a	SetWindowTextA
1002498c	ClientToScreen
1002499e	TabbedTextOutA
100249b0	DrawTextA
100249bc	DrawTextExA
100249ca	GrayStringA
100249d8	DestroyMenu
100249e6	PostQuitMessage
100249f6	USER32.dll
10024a04	GetDeviceCaps
10024a14	CreateBitmap
10024a24	GetClipBox
10024a32	SetTextColor
10024a42	SetBkColor
10024a50	DeleteObject
10024a60	SaveDC
10024a6a	RestoreDC
10024a76	SetMapMode
10024a84	PtVisible
10024a90	RectVisible
10024a9e	TextOutA
10024aaa	ExtTextOutA
10024ab8	Escape
10024ac2	SelectObject
10024ad2	SetViewportOrgEx
10024ae6	OffsetViewportOrgEx
10024afc	SetViewportExtEx
10024b10	ScaleViewportExtEx
10024b26	SetWindowExtEx
10024b38	ScaleWindowExtEx
10024b4c	DeleteDC
10024b58	GetStockObject
10024b68	GDI32.dll
10024b74	ClosePrinter
10024b84	DocumentPropertiesA
10024b9a	OpenPrinterA
10024ba8	WINSPOOL.DRV
10024bb8	RegOpenKeyA
10024bc6	RegCloseKey
10024bd4	RegSetValueExA
10024be6	RegEnumKeyExA
10024bf6	RegOpenKeyExA
10024c06	RegQueryValueExA
10024c1a	StartServiceA
10024c2a	OpenServiceA
10024c3a	CloseServiceHandle
10024c50	QueryServiceStatus
10024c66	OpenSCManagerA
10024c78	ControlService
10024c88	ADVAPI32.dll
10024c98	CLSIDFromString
10024caa	CoUninitialize
10024cbc	CoInitialize
10024ccc	CoCreateInstance
10024cde	ole32.dll
10024ce8	OLEAUT32.dll
10024cf8	PathFindFileNameA
10024d0c	PathFindExtensionA
10024d20	SHLWAPI.dll
10024d2e	CreateStdAccessibleObject
10024d4a	LresultFromObject
10024d5c	OLEACC.dll
10024d6a	HeapReAlloc
10024d78	VirtualAlloc
10024d88	GetCommandLineA
10024d9a	RaiseException
10024dac	RtlUnwind
10024db8	HeapSize
10024dc4	ExitProcess
10024dd2	TerminateProcess
10024de6	UnhandledExceptionFilter
10024e02	SetUnhandledExceptionFilter
10024e20	IsDebuggerPresent
10024e34	HeapDestroy
10024e42	HeapCreate
10024e50	VirtualFree
10024e5e	GetStdHandle
10024e6e	GetACP
10024e78	IsValidCodePage
10024e8a	LCMapStringA
10024e9a	LCMapStringW
10024eaa	SetHandleCount
10024ebc	GetFileType
10024eca	GetStartupInfoA
10024edc	FreeEnvironmentStringsA
10024ef6	GetEnvironmentStrings
10024f0e	FreeEnvironmentStringsW
10024f28	GetEnvironmentStringsW
10024f42	QueryPerformanceCounter
