entry	name	body
100053b5	FUN_100053b5	[[100053b5, 100053da]]
100053db	___crtExitProcess	[[100053db, 100053ee]]
100053f0	FUN_100053f0	[[100053f0, 100053f8]]
100053f9	FUN_100053f9	[[100053f9, 10005401]]
10005402	FUN_10005402	[[10005402, 10005419]]
1000541a	__initterm_e	[[1000541a, 10005439]]
1000543a	__get_osplatform	[[1000543a, 10005470]]
10005471	__get_winmajor	[[10005471, 100054ac]]
100054ad	__cinit	[[100054ad, 1000553e]]
1000553f	FUN_1000553f	[[1000553f, 1000560b] [1000561b, 10005620]]
1000560c	FUN_1000560c	[[1000560c, 1000561a]]
10005621	__exit	[[10005621, 10005631]]
10005632	__cexit	[[10005632, 10005640]]
10005641	__init_pointers	[[10005641, 1000568c]]
1000568d	__malloc_crt	[[1000568d, 100056cc]]
100056cd	__calloc_crt	[[100056cd, 10005714]]
10005715	__realloc_crt	[[10005715, 1000575f]]
10005760	__ioinit	[[10005760, 10005988] [10005997, 1000599f]]
100059a0	__ioterm	[[100059a0, 100059eb]]
100059ec	__setenvp	[[100059ec, 10005a7f] [10005a83, 10005ac6]]
10005ac7	parse_cmdline	[[10005ac7, 10005c5e]]
10005c5f	__setargv	[[10005c5f, 10005d17]]
10005d18	___crtGetEnvironmentStringsA	[[10005d18, 10005e4c]]
10005e4d	__RTC_Initialize	[[10005e4d, 10005e70]]
10005e95	___heap_select	[[10005e95, 10005eba] [10005ebe, 10005ed5] [10005ed9, 10005eef]]
10005ef0	__heap_init	[[10005ef0, 10005f49]]
10005f4a	__heap_term	[[10005f4a, 10005fbd]]
10005fbe	FUN_10005fbe	[[10005fbe, 1000611b]]
10006138	__SEH_prolog4	[[10006138, 1000617c]]
1000617d	__SEH_epilog4	[[1000617d, 10006190]]
100061a0	__except_handler4	[[100061a0, 10006335]]
10006336	___security_init_cookie	[[10006336, 100063c9]]
100063ca	FUN_100063ca	[[100063ca, 100063d3]]
100063d4	__invoke_watson	[[100063d4, 100064cf]]
100064d0	FUN_100064d0	[[100064d0, 100064f3]]
100064f4	__mtinitlocks	[[100064f4, 1000653c]]
1000653d	__mtdeletelocks	[[1000653d, 10006591]]
10006592	FUN_10006592	[[10006592, 100065a6]]
100065a7	__mtinitlocknum	[[100065a7, 10006660]]
10006661	FUN_10006661	[[10006661, 10006669]]
1000666a	__lock	[[1000666a, 1000669a]]
1000669b	_strcpy_s	[[1000669b, 100066ff]]
10006700	_strlen	[[10006700, 1000678a]]
1000678b	FUN_1000678b	[[1000678b, 100067c5]]
100067c6	FUN_100067c6	[[100067c6, 100067d8]]
100067d9	___sbh_heap_init	[[100067d9, 10006820]]
10006821	thunk_FUN_10006845	[[10006821, 10006832]]
10006845	FUN_10006845	[[10006833, 1000684b]]
1000684c	___sbh_free_block	[[1000684c, 10006b5f]]
10006b60	___sbh_alloc_new_region	[[10006b60, 10006c0f]]
10006c10	___sbh_alloc_new_group	[[10006c10, 10006d15]]
10006d16	___sbh_resize_block	[[10006d16, 10006ff4]]
10006ff5	___sbh_alloc_block	[[10006ff5, 100072d7]]
100072d8	__msize	[[100072d8, 10007369]]
10007372	FUN_10007372	[[10007372, 1000737a]]
1000737b	FUN_1000737b	[[1000737b, 100073fc] [10007400, 10007440] [10007444, 10007483] [10007489, 100074a7] [100074ab, 100074c9] [100074cd, 1000751a]]
1000751b	__FF_MSGBANNER	[[1000751b, 10007553]]
10007554	__EH_prolog3_catch	[[10007554, 10007589]]
1000758a	_ValidateRead	[[1000758a, 10007596]]
100075a0	_memmove	[[100075a0, 10007602] [10007604, 10007622] [10007624, 1000762a] [10007638, 10007660] [10007664, 10007686] [10007688, 100076a4] [100076c8, 10007711] [10007724, 1000772a] [1000772c, 10007736] [10007738, 10007748] [1000774c, 10007762] [10007764, 10007789] [1000778c, 10007794] [10007798, 100077b6] [100077c4, 100077e4] [100077e8, 1000780e] [10007810, 10007840] [10007864, 100078ad] [100078c0, 100078c6] [100078c8, 100078d4] [100078d8, 100078ea] [100078ec, 10007904]]
10007905	___freetlocinfo	[[10007905, 10007a44]]
10007a45	___addlocaleref	[[10007a45, 10007aca]]
10007acb	___removelocaleref	[[10007acb, 10007b56]]
10007b57	__updatetlocinfoEx_nolock	[[10007b57, 10007b94]]
10007b95	___updatetlocinfo	[[10007b95, 10007bfe]]
10007bff	FUN_10007bff	[[10007bff, 10007c0a]]
10007c0b	FUN_10007c0b	[[10007c0b, 10007c39]]
10007c3a	setSBCS	[[10007c3a, 10007c8e]]
10007c8f	setSBUpLow	[[10007c8f, 10007e18]]
10007e19	___updatetmbcinfo	[[10007e19, 10007eb0]]
10007eb4	FUN_10007eb4	[[10007eb4, 10007ebc]]
10007ebd	getSystemCP	[[10007ebd, 10007f36]]
10007f37	FUN_10007f37	[[10007f37, 1000810f]]
10008110	__setmbcp	[[10008110, 10008270] [1000827c, 100082a9]]
10008271	FUN_10008271	[[10008271, 10008279]]
100082aa	___initmbctable	[[100082aa, 100082c7]]
100082c8	_abort	[[100082c8, 100083b9]]
