address	value
10037a6a	RtlUnwind
10037a76	SetFilePointer
10037a88	GetFileType
10037a96	GetCommandLineA
10037aa8	GetVersionExA
10037ab8	HeapReAlloc
10037ac6	TerminateProcess
10037ada	GetCurrentProcess
10037aee	UnhandledExceptionFilter
10037b0a	SetUnhandledExceptionFilter
10037b28	HeapDestroy
10037b36	HeapCreate
10037b44	VirtualFree
10037b52	VirtualAlloc
10037b62	GetCPInfo
10037b6e	GetACP
10037b78	GetOEMCP
10037b84	GetModuleHandleA
10037b98	TlsGetValue
10037ba6	TlsAlloc
10037bb2	TlsSetValue
10037bc0	TlsFree
10037bca	SetLastError
10037bda	GetCurrentThreadId
10037bf0	OutputDebugStringA
10037c06	ExitProcess
10037c14	WriteFile
10037c20	GetStdHandle
10037c30	GetModuleFileNameA
10037c46	HeapSize
10037c52	SetStdHandle
10037c62	SetHandleCount
10037c74	GetStartupInfoA
10037c86	GetConsoleCP
10037c96	GetConsoleMode
10037ca8	FreeEnvironmentStringsA
10037cc2	GetEnvironmentStrings
10037cda	FreeEnvironmentStringsW
10037cf4	GetEnvironmentStringsW
10037d0e	QueryPerformanceCounter
10037d28	GetTickCount
10037d38	GetCurrentProcessId
10037d4e	GetSystemTimeAsFileTime
10037d68	LCMapStringA
10037d78	LCMapStringW
10037d88	GetStringTypeA
10037d9a	GetStringTypeW
10037dac	GetLocaleInfoA
10037dbe	LoadLibraryA
10037dce	WriteConsoleA
10037dde	GetConsoleOutputCP
10037df4	WriteConsoleW
10037e04	VirtualProtect
10037e16	GetSystemInfo
10037e26	VirtualQuery
10037e36	CreateFileA
10037e44	FlushFileBuffers
10037e58	SizeofResource
10037e6a	LockResource
10037e7a	LoadResource
10037e8a	FindResourceW
10037e9a	IsDebuggerPresent
10037eae	DeleteObject
10037ebc	GDI32.dll
10037f2a	CNx2008C.dll
10037f37	CreateUSD
10037f41	DeleteUSD
10037f4b	DllCanUnloadNow
10037f5b	DllGetClassObject
10037f6d	DllMain
10038008	.?AUINonDelegatingUnknown@@
1003802c	.?AVBaseUSD@@
10038044	.?AUIStiUSD@@
1003805c	.?AUIUnknown@@
10038074	.?AUIWiaMiniDrv@@
10038090	.?AVCANONAPI@@
100380a8	.?AVNonStiDeviceControl@@
100380cc	.?AUIStiDeviceControl@@
100380ec	.?AVCanonUSDClassFactory@@
10038110	.?AUIClassFactory@@
1003812c	.?AVCS_ImageData@@
10038148	.?AVAssociation@@
10038164	.?AVAssociationSet@@
10038184	.?AVCDMRCSecureLibrary@@
100381a8	.?AVCDMRCLibrary@@
100386f6	abcdefghijklmnopqrstuvwxyz
10038716	ABCDEFGHIJKLMNOPQRSTUVWXYZ
10038901	abcdefghijklmnopqrstuvwxyz
10038921	ABCDEFGHIJKLMNOPQRSTUVWXYZ
10038c80	.?AVbad_exception@std@@
10038ca0	.?AVexception@@
104c12ba	StringFileInfo
104c12de	040904b0
104c12f6	CompanyName
